product_id,brand,title,price,category,rating
B07TDZZKF7,Other,"12 Pcs Large Travel Storage Shoe Bag, Waterproof Shoe Bags for Gym Traveling, Shoe Pouch Organizer Non-Woven with Rope for Men and Women(Black)",18.0,Luggage,4.4
B0B6JCNNYD,Other,"12 Pcs Large Travel Storage Shoe Bag, Waterproof Shoe Storage Bag Bags Shoe Pouch Organizer Non-Woven with Drawstring and Transparent Window for Travel, Gym and Sports for Men and Women, Black",19.99,Luggage,4.4
B0D9N3WY86,Other,12 Pcs Men Birthdays Gift Set with Box for Men Gift Basket PU Leather Wallet Leather Toiletry Bag Tie Socks Belt Keychain Sunglasses Pen Compass Gift Set for Christmas,120.11,Wallets,4.6
B0D2CWR9LT,Other,"12 Pcs Stainless Steel Magnetic Crystal Fake Stud Earrings Set, Tazweeq 3mm Non-Piercing Nose & Lip Rings, Women's Men's Jewelry",15.83,Accessories,4.4
B0CFV1Q2DZ,Other,12 Pcs Transparent Shoe Bags for Travel Large Clear Shoes Organizers Storage Pouch with Rope for Men and Women,15.9,Luggage,4.0
B08VS8B8GP,Other,"12 Pieces Clear Cosmetics Bag PVC Zippered Clear Toiletry Carry Pouch Cosmetic Makeup Bag Waterproof Makeup Bag Vinyl Plastic Organizer Case for Vacation Bathroom(Medium,Black)",28.0,Luggage,4.5
B0BL3ZTLYZ,Other,"12 Slots RFID Blocking Men's Wallet, Black Wallet for Men, Slim Larger Capacity with Minimalist Front Pocket Bifold Leather with ID Window Gift Box",59.49,Wallets,3.8
B0BSXKDD21,Lacoste,"12.12 MOVE Men Watch, Analog",268.32,Watches,4.3
B0BB3JKVZ9,Lacoste,12.12 Men Jewelry,205.0,Accessories,3.9
B0B7MLQZZ7,Lacoste,"12.12 Men Watch, Analog",200.31,Watches,4.4
B0B7MLQZZ7,Lacoste,"12.12 Men Watch, Analog",200.31,Most-Loved Fashion,4.4
B07G4FSNN3,Lacoste,12.12 Men's Classic Water Resistant Quartz Watch,226.0,Watches,4.6
B07G4FSNN3,Lacoste,12.12 Men's Classic Water Resistant Quartz Watch,226.0,Most-Loved Fashion,4.6
B004Z0YXOA,Other,"1200 Deluxe Duffel Bag with Shoulder Strap, 42"" X 12"" X 12"", Olive Green",138.29,Outlet,4.5
B0BNLJG52Y,Other,120L Foldable Rolling Duffel hebing,125.0,Luggage,4.1
B0B5JT22X8,Other,12mm Cuban Link Bracelet Iced Out Miami Gold Plated Hip Hop Full CZ Prong Diamond Bracelet with Giftbox for Men Women,49.06,Accessories,4.1
B07X8XCR5F,Other,"13 Pocket PU Leather Card Holder Wallet | Large Zipper Organizer for Credit, Debit, ID Cards & Coins | Unisex Slim Wallet for Men & Women – Dark Brown (12 x 9.5 x 3 cm)",59.21,Wallets,4.0
B07DJ4C6KM,Other,14 inch Vintage Crossbody Genuine Leather Laptop Messenger Bag,255.0,Most-Loved Fashion,4.3
B01N9XG5FR,Other,1460 mens Fashion Boot,232.07,Most-Loved Fashion,4.4
B0015FWZ1G,Other,"1460, Women’s 1460 W",172.99,Most-Loved Fashion,4.5
B010FN07NG,Other,"1487-0110-WHITE/L Women's Simple Comfort Spaghetti Top, Large, White",28.0,Most-Loved Fashion,4.3
B0090E21SQ,Other,"1487-0110-WHITE/M Women's Simple Comfort Spaghetti Top, Medium, White",28.0,Most-Loved Fashion,4.2
